Prompt,Input,Output,Type
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that's right,that's ri- that's right,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah so do we.,Yeah <sil> so do we.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that's probably an expensive trial uh,that that's probably an expensive trial uh,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and it's a cliche,and and it's it's a cliche,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",you have to do it correctly it's you know,you have to you have to do it correctly it's you know,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well you are well versed on the subject i tell you,well you are you are well versed on the subject i tell you,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and it's not in our national consciousness to do it,and it's it's not in our national consciousness to do it,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and uh then it just grows from there,and and uh then it just grows from there,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",of course it all books and things,of course it was it all books and things,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so i guess from what i understand they could just t- they could take off at any moment without uh you know you know any local um you know congressional effort or anything else because you know it's not really settled yet,so i guess from what i understand the thing could just they could just t- they could take off at any moment without uh you know any uh-huh you know any local um you know congressional effort or anything else because you know it's not really settled yet,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and so when it throws in a real cool winter we get broken pipes and all that kind of stuff because texas just is n't built for you know real cold weather for long periods of time,and so when it throws in a real cool winter we get broken pipes and and all that kind of stuff and because texas is just just is n't built for you know real cold weather for long periods of time,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and it was normally carbureted,and and it was normally carbureted,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",this place that we visit it's really neat,this this place that we visit it's really neat,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Uh-huh Well that's all right.,Uh-huh <sil> Well <sil> that's all right.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Well you probably sue him for mental anguish or something right and try to get money from him and Yeah. Makes you wish that had uh still had indentured servitude for this sort of thing.,Well <sil> you probably sue him for mental anguish or something <sil> right <sil> and try to get money from him and <sil> Yeah. Makes you wish that had <sil> uh <sil> still had indentured servitude <sil> for this sort of thing.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and to me that's the same thing,and and to me that's the same thing,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Um yeah that would take some planning but That's right.,Um <sil> yeah <sil> that would take some planning but <sil> That's right.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well we have had this tradition um that we always go out before christmas and cut our own tree,well we've always we have a had this tradition um that we always go out before christmas and cut our own tree,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",actually since i grew up in texas i've only been here about two years and have gone skiing about well five times each season,actually since i grew up in texas i've only been here about two years and have gone skiing about three times we- well five times each season,disfl
